timestamp,lat,lon,heading,in_eca,sulphur,so2_co2,compliance,vessel_name,signature
2025-06-24T11:34:40.862102+00:00,51.41811283333333,4.1041955,149.98,FALSE,0.1,1.0,Compliant,MSC NORA,1cea1fa52ed8e4f58bdcaed88354984dbe2229b732976c7cde5b1657681db658
2025-06-24T11:44:40.865404+00:00,51.29870233333333,4.214599833333334,150.01,FALSE,0.1,1.0,Compliant,MSC NORA,f7f3737e73765c40619940081e137e717c93cbf36c19e8a0919e6b877d66618a
2025-06-24T11:54:41.856627+00:00,51.179067833333335,4.324923833333333,149.99,FALSE,0.1,1.0,Compliant,MSC NORA,bef25a3876c23a483e6f9320df328a452c63e90803d59f3a338ba5ee88605080
2025-06-24T12:04:42.634672+00:00,52.39293816666667,3.8195355,24.99,TRUE,0.1,1.0,Compliant,MSC NORA,7d8e32a987d79784eb6c12fea91ba09b2336864786a95fcd2a1e8500f45eceac
2025-06-24T12:14:42.635726+00:00,52.517574833333335,3.9149095000000003,24.99,TRUE,0.1,1.0,Compliant,MSC NORA,2eb654d4ee74e523073e3a672abd095adfa0d27d1b42ac4332894d355e91660e
2025-06-24T12:24:43.637209+00:00,52.642294166666666,4.010618,25.0,TRUE,0.1,1.0,Compliant,MSC NORA,5c0b32a6bb9a2ed1435e933a6f9c605c79657b26957812708bee7e1457dae618
2025-06-24T12:34:44.636032+00:00,52.76708683333333,4.1066563333333335,25.0,TRUE,0.1,1.0,Compliant,MSC NORA,44c346ad4ba596982ae1c0610cffb84809e85ef7706493b13817915b893ac9d5
2025-06-24T12:44:45.640013+00:00,52.891860333333334,4.202955333333334,24.97,TRUE,0.1,1.0,Compliant,MSC NORA,a10080f3d8a75b197ab60f540f159cb0ae69affe2b554b9773d93391acc6424e
2025-06-24T12:53:36.780332+00:00,53.001712166666664,4.287967833333333,0.0,FALSE,0.1,0.9,Compliant,MSC NORA,d485dada0e0e55317dbdfa15efeefaae1f722c5599dbd5b6c6fd060f4c5aedd7
2025-06-24T13:03:37.638284+00:00,53.12700683333333,4.385195666666666,25.01,FALSE,0.1,0.9,Compliant,MSC NORA,bdc21f441aa3cea305032df87b5b760253120c031aa91709730e384866d313f8
2025-06-24T13:13:38.637327+00:00,53.2518995,4.4823941666666665,24.99,FALSE,0.1,0.9,Compliant,MSC NORA,7b8c18a61f6f65b8eb2d35e7e96c6def08513d61f4cef22a7b9c21818a100bbc
2025-06-24T13:23:39.635000+00:00,53.37675516666667,4.579847666666667,24.98,FALSE,0.1,0.9,Compliant,MSC NORA,3d7e64bcbb11555f7f4c88c364840bef7fe536ca35881fb15c42c58103b225ad
2025-06-24T13:33:40.626079+00:00,53.501605833333336,4.677583666666667,25.01,FALSE,0.1,0.9,Compliant,MSC NORA,6993b81f8bc9d586de74dd9cb66d0fef8f6059e31f496602863fe6c758a81a40
2025-06-24T13:43:40.636758+00:00,53.62623133333334,4.775430666666667,25.0,FALSE,0.1,0.9,Compliant,MSC NORA,85940182a3cf62cd2e27c9d44d0d877e6467b9902780896b1506c85b779c32d3
2025-06-24T13:53:41.637635+00:00,53.75101083333333,4.873688666666666,25.01,FALSE,0.1,0.9,Compliant,MSC NORA,019859562a2cf533aaa17f893d69fa9f61044c8df4de4338971d0b43ba220235
2025-06-24T14:03:42.636157+00:00,53.87578533333333,4.972234833333333,25.0,FALSE,0.1,0.9,Compliant,MSC NORA,433e1e7e222134cc85fdfb1877f9cebdcf9f652568daba2746394bdc9ff82404
2025-06-24T14:13:43.634132+00:00,54.000626,5.071128,24.99,FALSE,0.1,0.9,Compliant,MSC NORA,2d72b4030976365087f3e087bbc1f4cf3aead39cb7fc69bb121d479a46308701
2025-06-24T14:23:44.628666+00:00,54.1254975,5.1703426666666665,24.99,FALSE,0.1,0.9,Compliant,MSC NORA,ee56d1b29e3bfa82cc8da1c22014a9e2ef513619f26f3b7657ed4767856dd4fa
2025-06-24T14:33:44.635833+00:00,54.250166,5.269695,25.02,FALSE,0.1,0.9,Compliant,MSC NORA,9be44adf98804a6652c8b4b0d618f2aa47e2809f0f2fe2d6062d6ff38f08eb34
2025-06-24T14:43:45.635023+00:00,54.375044833333334,5.369516333333333,25.01,FALSE,0.1,0.9,Compliant,MSC NORA,7ca3211197c5d13c75240ef416223c0b49ffbe52234d4c5f51651d9b08115a4e
2025-06-24T14:53:46.625827+00:00,54.49992183333333,5.469640166666666,25.0,FALSE,0.1,0.9,Compliant,MSC NORA,934481d416810eaaa3743be5bc45f0e14c5da9657f409bcc7718434dae02620f
2025-06-24T15:03:46.628602+00:00,54.62458866666667,5.569901333333333,25.02,FALSE,0.1,0.9,Compliant,MSC NORA,bd96c7508bc1a295fba3500ca30632a544fd2c19b25f261b753c3a8b41ba6bc5
2025-06-24T15:13:46.651155+00:00,54.74926216666667,5.670475333333333,25.0,FALSE,0.1,0.9,Compliant,MSC NORA,7083c92f620e7e7e5b49eeed40e6fedbd1edfcf55d5defecd07cbd50484e4b85
2025-06-24T15:23:46.651667+00:00,54.873935333333336,5.7713595,25.02,FALSE,0.1,0.9,Compliant,MSC NORA,630b4ee4fed8754dc061c67794bfd603715c958409680a68c86d21f1b51763f6
2025-06-24T15:33:46.670872+00:00,54.99860816666666,5.872555666666667,24.99,FALSE,0.1,0.9,Compliant,MSC NORA,567d4a70a60a5906923a1e4d43c5cdc9fe89d5e2305ea8efd0c8bb1ff221e681
2025-06-24T15:43:46.680358+00:00,55.123278166666665,5.9740645,24.99,FALSE,0.1,0.9,Compliant,MSC NORA,67fe8d45e285456ac39cac8c4525275b00848e8afc4d1540c589e959da677967
2025-06-24T15:53:46.685797+00:00,55.247948,6.075890666666667,24.99,FALSE,0.1,0.9,Compliant,MSC NORA,369c596da0193c91fc7cb02dc790c3447881abb350aac0380afd4ded9b4d78ea
2025-06-24T16:03:47.690827+00:00,55.372822166666666,6.178204333333333,24.99,FALSE,0.1,0.9,Compliant,MSC NORA,2a9aa32f1fa5fcbfadf7fad87c0ac0953f13bf8c19e5939d5469a3626f3a2521
2025-06-24T16:13:48.692805+00:00,55.497696,6.280841166666667,24.99,FALSE,0.1,0.9,Compliant,MSC NORA,f0b1f8d60e066bd1e88e504ce1fc8ad34bf0c6e04777c34a4db362fe668b28bd
2025-06-24T16:23:49.697522+00:00,55.62257916666667,6.383811833333334,25.0,FALSE,0.1,0.9,Compliant,MSC NORA,6d41a974753ee8082c4e33412000ede172c484c7efbb1f2ea9941804529a4cc6
